Region,Source,longitude,latitude,H01,H02,H03,H04,H05,H06,H07,H08,H09
North Atlantic,Bahamas,-77.39628,25.03428,74,53,8,4,5,1,4,1,0
North Atlantic,North Carolina,-79.0193,35.7596,102,98,15,15,9,14,10,0,1
North Atlantic,Bermuda,-64.75737,32.321384,18,21,1,0,0,4,1,0,0
Caribbean,Belize,-88.49765,17.189877,17,39,0,3,0,0,0,0,0
Caribbean,Bonaire,-68.2624,12.2019,4,17,0,0,0,0,0,0,0
Caribbean,Cayman Islands,-80.566956,19.513469,21,56,1,1,0,0,0,0,0
Caribbean,Cuba,-77.781167,21.521757,5,18,0,1,0,0,0,0,0
Caribbean,Honduras,-86.241905,15.199999,5,8,0,2,0,0,0,0,0
Caribbean,Jamaica,-77.297508,18.109581,7,28,0,2,0,0,0,0,0
Caribbean,Panama,-80.782127,8.537981,16,30,1,5,0,0,0,0,0
Caribbean,Puerto Rico,-66.590149,18.220833,39,95,1,3,0,0,0,0,0
Caribbean,San Andreas,-81.7076,12.545,18,26,0,3,0,0,0,0,0
Caribbean,Colombia,-74.297333,4.570868,42,106,0,18,0,0,0,0,0
Caribbean,U.S. Virgin Islands,-64.896335,18.335765,1,8,0,1,0,0,0,0,0
Gulf of Mexico,Florida N Gulf,-85.253906,30.069094,17,34,0,7,0,0,0,0,0
Gulf of Mexico,Florida S Gulf,-81.650391,26.588527,10,44,0,7,0,0,0,0,0
Gulf of Mexico,Mississippi,-89.3985,32.3547,10,10,0,4,0,0,0,0,0
Gulf of Mexico,Texas,-99.9018,31.9686,15,25,0,5,0,0,0,0,0
